threshold,coverage_mean,coverage_std,precision_mean,precision_std,precision_lcb_mean,precision_lcb_std,recall_mean,recall_std,coherent_kept_rate_mean,coherent_kept_rate_std
0.000000,1.000000,0.000000,0.609544,0.012510,0.574064,0.012657,1.000000,0.000000,0.609544,0.012510
0.005000,1.000000,0.000000,0.609544,0.012510,0.574064,0.012657,1.000000,0.000000,0.609544,0.012510
0.010000,0.999732,0.000599,0.609710,0.012654,0.574228,0.012798,1.000000,0.000000,0.609544,0.012510
0.015000,0.998927,0.001469,0.610199,0.012513,0.574708,0.012660,1.000000,0.000000,0.609544,0.012510
0.020000,0.998658,0.001898,0.610362,0.012379,0.574866,0.012527,1.000000,0.000000,0.609544,0.012510
0.025000,0.998658,0.001898,0.610362,0.012379,0.574866,0.012527,1.000000,0.000000,0.609544,0.012510
0.030000,0.998658,0.001898,0.610362,0.012379,0.574866,0.012527,1.000000,0.000000,0.609544,0.012510
0.035000,0.998390,0.002401,0.610524,0.012253,0.575026,0.012403,1.000000,0.000000,0.609544,0.012510
0.040000,0.998122,0.002615,0.610691,0.012413,0.575190,0.012559,1.000000,0.000000,0.609544,0.012510
0.045000,0.997318,0.002510,0.610919,0.012986,0.575407,0.013131,0.999553,0.001000,0.609276,0.012798
0.050000,0.996781,0.002781,0.611256,0.013434,0.575738,0.013573,0.999553,0.001000,0.609276,0.012798
0.055000,0.995441,0.002436,0.611794,0.012886,0.576258,0.013046,0.999105,0.002001,0.609008,0.013107
0.060000,0.994904,0.002907,0.611855,0.013151,0.576310,0.013312,0.998658,0.002001,0.608740,0.013350
0.065000,0.993832,0.003622,0.612524,0.013620,0.576968,0.013774,0.998658,0.002001,0.608740,0.013350
0.070000,0.992759,0.003088,0.613176,0.013091,0.577607,0.013256,0.998658,0.002001,0.608740,0.013350
0.075000,0.991686,0.004176,0.613849,0.013571,0.578269,0.013726,0.998658,0.002001,0.608740,0.013350
0.080000,0.990346,0.003719,0.614695,0.014436,0.579102,0.014582,0.998658,0.002001,0.608740,0.013350
0.085000,0.989542,0.004776,0.615209,0.015101,0.579609,0.015236,0.998658,0.002001,0.608740,0.013350
0.090000,0.988201,0.004869,0.616035,0.014667,0.580419,0.014811,0.998658,0.002001,0.608740,0.013350
0.095000,0.986592,0.005444,0.616757,0.014338,0.581120,0.014495,0.998210,0.002917,0.608471,0.013666
0.100000,0.986055,0.005889,0.617095,0.014413,0.581453,0.014568,0.998210,0.002917,0.608471,0.013666
0.105000,0.985519,0.006525,0.617434,0.014476,0.581786,0.014628,0.998210,0.002917,0.608471,0.013666
0.110000,0.984179,0.007546,0.618294,0.015309,0.582633,0.015447,0.998210,0.002917,0.608471,0.013666
0.115000,0.982570,0.007757,0.619311,0.015527,0.583634,0.015665,0.998210,0.002917,0.608471,0.013666
0.120000,0.980960,0.007547,0.620324,0.015424,0.584630,0.015567,0.998210,0.002917,0.608471,0.013666
0.125000,0.980156,0.007952,0.620841,0.015732,0.585139,0.015871,0.998210,0.002917,0.608471,0.013666
0.130000,0.978547,0.008207,0.621868,0.016016,0.586150,0.016154,0.998210,0.002917,0.608471,0.013666
0.135000,0.975596,0.009162,0.622919,0.015414,0.587158,0.015550,0.996895,0.002987,0.607667,0.013493
0.140000,0.973987,0.009970,0.623950,0.015337,0.588173,0.015470,0.996895,0.002987,0.607667,0.013493
0.145000,0.972378,0.009650,0.624705,0.014883,0.588906,0.015013,0.996468,0.002553,0.607399,0.013009
0.150000,0.970233,0.010488,0.625831,0.015362,0.590008,0.015473,0.996040,0.002437,0.607131,0.012535
0.155000,0.968087,0.010053,0.626921,0.014781,0.591072,0.014911,0.995593,0.003165,0.606863,0.012865
0.160000,0.965673,0.009838,0.628216,0.015261,0.592341,0.015394,0.995149,0.002472,0.606594,0.012973
0.165000,0.964601,0.010585,0.628930,0.015834,0.593045,0.015960,0.995149,0.002472,0.606594,0.012973
0.170000,0.963260,0.010755,0.629251,0.015824,0.593346,0.015945,0.994270,0.002020,0.606058,0.012891
0.175000,0.961383,0.010188,0.629917,0.015136,0.593984,0.015252,0.993409,0.002181,0.605522,0.012205
0.180000,0.958434,0.010471,0.631591,0.016050,0.595629,0.016167,0.992965,0.001833,0.605254,0.012356
0.185000,0.956557,0.010996,0.632859,0.017294,0.596882,0.017405,0.992965,0.001833,0.605254,0.012356
0.190000,0.954412,0.011333,0.634020,0.017731,0.598020,0.017831,0.992537,0.001899,0.604986,0.011871
0.195000,0.952266,0.011320,0.635170,0.018123,0.599147,0.018231,0.992090,0.002504,0.604718,0.012196
0.200000,0.950389,0.013270,0.636178,0.019306,0.600137,0.019405,0.991642,0.001851,0.604449,0.012413
0.205000,0.948511,0.012880,0.637147,0.019307,0.601084,0.019418,0.991195,0.001608,0.604181,0.012654
0.210000,0.946902,0.012088,0.637934,0.018731,0.601852,0.018843,0.990768,0.001795,0.603913,0.012188
0.215000,0.942879,0.013858,0.639821,0.019129,0.603691,0.019234,0.989442,0.000958,0.603108,0.012355
0.220000,0.941002,0.014001,0.640810,0.018805,0.604658,0.018907,0.989008,0.001474,0.602840,0.012147
0.225000,0.939929,0.013492,0.641531,0.018556,0.605369,0.018666,0.989008,0.001474,0.602840,0.012147
0.230000,0.937516,0.012921,0.642315,0.019071,0.606121,0.019208,0.987666,0.002613,0.602035,0.013010
0.235000,0.935907,0.012415,0.643133,0.018900,0.606920,0.019036,0.987239,0.002445,0.601767,0.012536
0.240000,0.933762,0.013087,0.643773,0.018905,0.607528,0.019014,0.985950,0.003169,0.600963,0.011385
0.245000,0.931885,0.014294,0.644512,0.019373,0.608244,0.019476,0.985069,0.003812,0.600427,0.011512
0.250000,0.929204,0.014786,0.645509,0.019350,0.609204,0.019451,0.983754,0.005186,0.599623,0.011526
0.255000,0.927327,0.014445,0.645948,0.018741,0.609612,0.018824,0.982465,0.006187,0.598818,0.010402
0.260000,0.924914,0.014890,0.647361,0.019031,0.611001,0.019106,0.982038,0.006580,0.598550,0.009921
0.265000,0.921428,0.014939,0.648644,0.018777,0.612237,0.018849,0.980288,0.007122,0.597477,0.009519
0.270000,0.917673,0.016698,0.649302,0.019529,0.612832,0.019568,0.977236,0.007809,0.595600,0.008312
0.275000,0.916065,0.016670,0.650153,0.019872,0.613666,0.019921,0.976789,0.007684,0.595332,0.008667
0.280000,0.914187,0.017081,0.650903,0.019843,0.614392,0.019891,0.975907,0.007754,0.594795,0.008732
0.285000,0.912578,0.016006,0.651149,0.019445,0.614609,0.019503,0.974588,0.007647,0.593991,0.008668
0.290000,0.909628,0.014356,0.652053,0.018887,0.615467,0.018963,0.972824,0.006948,0.592918,0.008631
0.295000,0.905873,0.015234,0.653287,0.018857,0.616647,0.018920,0.970641,0.008369,0.591577,0.008204
0.300000,0.902387,0.016888,0.654050,0.018971,0.617351,0.019015,0.968007,0.008597,0.589968,0.007934
0.305000,0.899974,0.017438,0.655518,0.019156,0.618798,0.019196,0.967573,0.008820,0.589700,0.007676
0.310000,0.895684,0.018085,0.658090,0.019837,0.621331,0.019871,0.966718,0.010394,0.589164,0.006902
0.315000,0.893003,0.019308,0.658597,0.020261,0.621792,0.020273,0.964531,0.010754,0.587823,0.006259
0.320000,0.889785,0.018447,0.660346,0.019566,0.623507,0.019591,0.963650,0.010779,0.587287,0.006375
0.325000,0.886031,0.018629,0.661027,0.019621,0.624121,0.019648,0.960568,0.010898,0.585410,0.006572
0.330000,0.883081,0.017900,0.661993,0.018925,0.625042,0.018958,0.958812,0.011534,0.584337,0.006686
0.335000,0.879863,0.020102,0.662302,0.018240,0.625285,0.018217,0.955775,0.014442,0.582460,0.005934
0.340000,0.875305,0.019790,0.664803,0.017032,0.627737,0.017001,0.954480,0.016127,0.581656,0.005714
0.345000,0.870478,0.020165,0.666950,0.016814,0.629823,0.016777,0.952296,0.017310,0.580315,0.005714
0.350000,0.867260,0.020700,0.668218,0.017892,0.631051,0.017864,0.950530,0.016745,0.579242,0.005594
0.355000,0.862970,0.019567,0.669330,0.016599,0.632089,0.016561,0.947471,0.017461,0.577366,0.004762
0.360000,0.860019,0.019368,0.669779,0.018123,0.632487,0.018122,0.944792,0.015112,0.575756,0.005211
0.365000,0.856802,0.018505,0.670719,0.018684,0.633378,0.018726,0.942558,0.013498,0.574415,0.006304
0.370000,0.852510,0.019377,0.672538,0.019203,0.635143,0.019250,0.940355,0.014101,0.573074,0.006980
0.375000,0.850097,0.017716,0.673781,0.018407,0.636358,0.018470,0.939466,0.012615,0.572538,0.006488
0.380000,0.845538,0.016966,0.674512,0.017538,0.637000,0.017628,0.935493,0.013664,0.570125,0.007939
0.385000,0.841515,0.017383,0.676448,0.016601,0.638886,0.016676,0.933750,0.015117,0.569052,0.007976
0.390000,0.836687,0.017542,0.678093,0.015957,0.640458,0.016028,0.930675,0.015760,0.567175,0.008178
0.395000,0.832398,0.018757,0.679706,0.017645,0.642013,0.017725,0.928037,0.015761,0.565567,0.008127
0.400000,0.828376,0.018605,0.681684,0.017014,0.643944,0.017108,0.926280,0.017147,0.564494,0.008920
0.405000,0.825158,0.017575,0.683012,0.016777,0.645229,0.016907,0.924514,0.017665,0.563422,0.009592
0.410000,0.821136,0.017978,0.684048,0.016373,0.646194,0.016525,0.921425,0.018868,0.561545,0.010751
0.415000,0.817112,0.017504,0.686067,0.016090,0.648168,0.016290,0.919635,0.018995,0.560472,0.011898
0.420000,0.812017,0.016575,0.686378,0.015332,0.648364,0.015549,0.914356,0.019310,0.557254,0.012062
0.425000,0.807994,0.014864,0.687443,0.015402,0.649359,0.015670,0.911247,0.018172,0.555377,0.012430
0.430000,0.802094,0.014033,0.690155,0.015565,0.651999,0.015851,0.908165,0.017732,0.553500,0.012236
0.435000,0.796731,0.015492,0.692114,0.015984,0.653879,0.016283,0.904652,0.019693,0.551355,0.013083
0.440000,0.790831,0.014734,0.692854,0.015150,0.654491,0.015441,0.898949,0.019878,0.547869,0.012612
0.445000,0.787881,0.013871,0.694764,0.015170,0.656380,0.015469,0.898071,0.019464,0.547333,0.012325
0.450000,0.784127,0.014013,0.695716,0.014806,0.657262,0.015063,0.895029,0.019906,0.545456,0.011267
0.455000,0.779836,0.016111,0.697862,0.015702,0.659362,0.015937,0.892853,0.021609,0.544115,0.011564
0.460000,0.772595,0.016007,0.700169,0.014116,0.661544,0.014413,0.887545,0.022651,0.540897,0.013139
0.465000,0.767231,0.016838,0.701932,0.015338,0.663222,0.015661,0.883565,0.022882,0.538482,0.013831
0.470000,0.760260,0.016872,0.704901,0.017818,0.666104,0.018160,0.879173,0.022505,0.535801,0.013353
0.475000,0.755433,0.016283,0.705812,0.018169,0.666917,0.018583,0.874752,0.023826,0.533120,0.014745
0.480000,0.750874,0.016460,0.706504,0.015465,0.667500,0.015817,0.870396,0.024243,0.530438,0.013801
0.485000,0.744707,0.018582,0.708424,0.015858,0.669312,0.016178,0.865615,0.027498,0.527489,0.014332
0.490000,0.740148,0.018791,0.710616,0.016469,0.671451,0.016824,0.862954,0.027187,0.525879,0.014684
0.495000,0.734786,0.020729,0.711089,0.015642,0.671787,0.015909,0.857311,0.029823,0.522394,0.014548
0.500000,0.728618,0.020056,0.711533,0.017217,0.672078,0.017634,0.850650,0.030575,0.518371,0.016567
